
,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
30,-28,2148180640,(주)남인정보통신,김남호,분석,219712794.0,81.8,87.585,88.231,-0.22720 (99.7728),5 6,2024/10/29 15:54:31,낙찰하한선 미달
31,-29,2108131394,(주)안나시스템,문병조,분석,219676500.0,81.4,87.569,88.217,-0.24381 (99.75619),9 10,2024/10/30 21:19:44,낙찰하한선 미달
32,-30,2028138682,협진통신(주),이승훈,분석,219671059.0,81.4,87.567,88.214,-0.24630 (99.7537),4 11,2024/10/30 10:22:18,낙찰하한선 미달
33,-31,1108176581,주식회사 비에스텍,윤희주,분석,219670956.0,81.4,87.567,88.214,-0.24635 (99.75365),12 15,2024/10/31 09:13:50,낙찰하한선 미달
34,-32,2088115241,한애전자(주),최용경,분석,219663630.0,81.2,87.564,88.211,-0.24970 (99.7503),4 12,2024/10/31 11:37:23,낙찰하한선 미달
35,-33,2208660663,주식회사 데이타렉스,김정국,분석,219659900.0,81.2,87.562,88.21,-0.25141 (99.74859),10 11,2024/10/30 15:26:35,낙찰하한선 미달
36,-34,2078152132,(주)홍남테크,김홍길,분석,219644620.0,81.2,87.556,88.204,-0.25841 (99.74159),14 15,2024/10/29 15:23:44,낙찰하한선 미달
37,-35,1198123174,주식회사 도래정보시스템,이은숙,분석,219635010.0,81.0,87.552,88.2,-0.26280 (99.7372),9 11,2024/10/30 10:13:31,낙찰하한선 미달
38,-36,1058601287,(주)성산정보시스템,김기주,분석,219618183.0,81.0,87.545,88.193,-0.27050 (99.7295),5 9,2024/10/30 16:38:19,낙찰하한선 미달
39,-37,7968600745,마스트아이엔씨 주식회사,전병호,분석,219599250.0,80.8,87.536,88.186,-0.27917 (99.72083),1 9,2024/10/30 08:35:52,낙찰하한선 미달
40,-38,2078141917,합자회사 대성전업상사,권기원,분석,219593750.0,80.6,87.534,88.183,-0.28169 (99.71831),15 7,2024/10/30 10:50:40,낙찰하한선 미달
41,-39,2048137258,대신엔에스(주),정동진,분석,219527286.0,80.2,87.506,88.157,-0.31210 (99.6879),7 10,2024/10/29 14:55:07,낙찰하한선 미달
42,-40,2066762193,보성통신,문용권,분석,219475830.0,79.6,87.484,88.136,-0.33565 (99.66435),6 3,2024/10/30 10:17:10,낙찰하한선 미달
43,-41,1068684748,주식회사고도기술,고동현,분석,219454307.0,79.6,87.475,88.127,-0.34550 (99.6545),15 9,2024/10/29 21:14:20,낙찰하한선 미달
44,-42,3188601020,주식회사 프레이,조성준,분석,219418950.0,79.2,87.46,88.113,-0.36169 (99.63831),9 12,2024/10/30 13:15:11,낙찰하한선 미달
45,-43,1298196937,주식회사 진인프라,김성용,분석,219409300.0,79.2,87.456,88.109,-0.36610 (99.6339),7 6,2024/10/30 13:43:47,낙찰하한선 미달
46,-44,2118145912,영남스퀘어 주식회사,장재모,분석,219395770.0,79.0,87.45,88.104,-0.37229 (99.62771),11 2,2024/10/30 10:43:32,낙찰하한선 미달
47,-45,2158191475,(주)디앤씨코퍼레이션,엄삼섭,분석,219395311.0,79.0,87.45,88.104,-0.37250 (99.6275),15 3,2024/10/31 09:54:38,낙찰하한선 미달
48,-46,2748800123,중앙씨앤티 주식회사,윤영진,분석,219392895.0,79.0,87.449,88.103,-0.37361 (99.62639),8 3,2024/10/31 09:24:56,낙찰하한선 미달
49,-47,1138159301,삼인제어시스템 주식회사,최민성,분석,219391730.0,79.0,87.448,88.102,-0.37414 (99.62586),1 12,2024/10/30 15:26:51,낙찰하한선 미달
0,-48,1318174028,"주식회사 에이치케이 (HK Co., Ltd.)",장해각,분석,219369890.0,78.8,87.439,88.093,-0.38414 (99.61586),9 15,2024/10/30 10:41:56,낙찰하한선 미달
1,-49,1178119238,주식회사 동양네트워크,김종렬,분석,219323860.0,78.4,87.419,88.075,-0.40521 (99.59479),13 6,2024/10/31 09:36:41,낙찰하한선 미달
2,-50,1068616518,(주)애니씨앤에스,이일규,분석,219295020.0,78.2,87.407,88.063,-0.41840 (99.5816),14 13,2024/10/30 14:04:15,낙찰하한선 미달
3,-51,1058192352,한아름정보통신(주),손경선,분석,219282800.0,78.0,87.402,88.059,-0.42400 (99.576),4 9,2024/10/30 14:46:18,낙찰하한선 미달
4,-52,2118620935,주식회사 한양티이씨,조형국,분석,219259841.0,77.8,87.392,88.049,-0.43450 (99.5655),14 2,2024/10/31 10:50:43,낙찰하한선 미달
5,-53,2158602337,지엔네텔(주),고시영,분석,219198684.0,77.4,87.366,88.025,-0.46249 (99.53751),8 14,2024/10/31 11:31:42,낙찰하한선 미달
6,-54,1058649262,주식회사 노하우전기통신,임창배,분석,219194900.0,77.2,87.364,88.023,-0.46423 (99.53577),7 11,2024/10/29 16:44:32,낙찰하한선 미달
7,-55,2048610496,주식회사 김스애드,김진희,분석,219174620.0,77.2,87.356,88.015,-0.47351 (99.52649),9 15,2024/10/30 17:28:21,낙찰하한선 미달
8,-56,2648146574,주식회사 넷츠플러스,송주흔,분석,219158000.0,77.0,87.349,88.008,-0.48111 (99.51889),6 5,2024/10/30 12:41:39,낙찰하한선 미달
9,-57,2068632045,주식회사 티볼리씨앤씨,박주흠,분석,219144200.0,76.8,87.343,88.003,-0.48743 (99.51257),4 11,2024/10/30 13:36:50,낙찰하한선 미달
10,-58,2098147159,(주)동방에스앤에스,정재훈,분석,219141851.0,76.8,87.342,88.002,-0.48850 (99.5115),7 9,2024/10/30 17:09:50,낙찰하한선 미달
11,-59,1198118405,우광기전(주),이기진,분석,219022540.0,75.8,87.291,87.954,-0.54311 (99.45689),8 15,2024/10/31 09:14:30,낙찰하한선 미달
12,-60,1048159651,(주)성우음향정보통신,송민자,분석,219003540.0,75.6,87.283,87.946,-0.55180 (99.4482),5 13,2024/10/31 08:11:23,낙찰하한선 미달
13,-61,1068674084,주식회사월드아이,신영구,분석,218972950.0,75.4,87.27,87.934,-0.56580 (99.4342),8 4,2024/10/30 14:50:16,낙찰하한선 미달
14,-62,1058130768,세원전설 주식회사,최영래,분석,218962240.0,75.4,87.265,87.93,-0.57071 (99.42929),13 11,2024/10/30 16:33:56,낙찰하한선 미달
15,-63,1138680513,주식회사연수이앤씨,조운호,분석,218903247.0,74.8,87.24,87.906,-0.59770 (99.4023),5 15,2024/10/30 15:58:07,낙찰하한선 미달
16,-64,1138163917,백두전기통신(주),장철,분석,218883364.0,74.6,87.232,87.898,-0.60680 (99.3932),2 5,2024/10/29 18:59:57,낙찰하한선 미달
17,-65,1138640850,주식회사 우솔네트웍스,유상열,분석,218880310.0,74.6,87.23,87.897,-0.60820 (99.3918),7 15,2024/10/30 09:59:22,낙찰하한선 미달
18,-66,2170366237,염광통신공사,기홍용,분석,218784300.0,73.8,87.19,87.858,-0.65214 (99.34786),6 15,2024/10/29 16:22:48,낙찰하한선 미달
19,-67,2158676426,주식회사 건영이앤씨,박지명,분석,218690800.0,73.0,87.15,87.821,-0.69493 (99.30507),4 14,2024/10/30 14:48:49,낙찰하한선 미달
20,-68,1178164451,(주)지엠디텔레콤,김창윤,분석,218685852.0,73.0,87.148,87.819,-0.69720 (99.3028),10 4,2024/10/30 15:17:22,낙찰하한선 미달
