순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-26,1068603240,태경이엘피 주식회사,김평석,분석,59017774,87.668,88.637,0.72031 (100.72031),9 3,2021/09/29 18:20:58,낙찰하한선 미달
-27,1048635917,주식회사 비전에스엔씨,김국배,분석,59015690,87.664,88.634,0.71674 (100.71674),6 12,2021/09/29 09:51:41,낙찰하한선 미달
-28,2308103607,주식회사 디케이앤트,양동국,분석,59011970,87.659,88.629,0.71038 (100.71038),3 12,2021/09/29 10:06:21,낙찰하한선 미달
-29,1138175669,(주)용상전기통신,권혁기,분석,59008590,87.654,88.624,0.70459 (100.70459),3 11,2021/09/30 09:14:36,낙찰하한선 미달
-30,1208662454,(주)위엠비,김수현,분석,59006120,87.65,88.62,0.70036 (100.70036),13 7,2021/09/27 15:50:24,낙찰하한선 미달
-31,1138195331,(주)한남이앤씨,조성호,분석,59006020,87.65,88.62,0.70019 (100.70019),15 1,2021/09/29 19:56:35,낙찰하한선 미달
-32,1138111990,한경기전(주),박태용,분석,59003750,87.646,88.616,0.69631 (100.69631),2 11,2021/09/29 10:25:25,낙찰하한선 미달
-33,2150786744,영진전기통신공사,정재인,분석,59000800,87.642,88.612,0.69126 (100.69126),2 14,2021/09/29 09:43:30,낙찰하한선 미달
-34,1188117816,(주)영원정보통신,전춘식,분석,58995740,87.634,88.604,0.68260 (100.6826),8 7,2021/09/24 14:26:45,낙찰하한선 미달
-35,2158191475,(주)디앤씨코퍼레이션,엄삼섭,분석,58994870,87.633,88.603,0.68111 (100.68111),15 4,2021/09/29 11:58:20,낙찰하한선 미달
-36,1078805018,주식회사 지엔아이테크,박우정,분석,58994440,87.632,88.602,0.68037 (100.68037),13 8,2021/09/27 15:31:55,낙찰하한선 미달
-37,2128140491,(주)벧엘정보통신,채수진,분석,58994165,87.632,88.602,0.67990 (100.6799),12 5,2021/09/30 07:36:34,낙찰하한선 미달
-38,8038600460,주식회사 파르이앤씨,김종훈,분석,58990520,87.626,88.596,0.67366 (100.67366),12 15,2021/09/30 08:39:22,낙찰하한선 미달
-39,1118101759,신원전설(주),심한섭,분석,58985810,87.619,88.589,0.66560 (100.6656),10 11,2021/09/29 09:15:01,낙찰하한선 미달
-40,1148680379,주식회사 다경시스템,김대원,분석,58981900,87.613,88.584,0.65891 (100.65891),8 4,2021/09/27 08:12:26,낙찰하한선 미달
-41,2158601380,세계정보시스템(주),한인창,분석,58980000,87.61,88.581,0.65565 (100.65565),13 5,2021/09/28 10:29:01,낙찰하한선 미달
-42,2208100563,경창계전 주식회사,이성욱,분석,58978470,87.608,88.578,0.65304 (100.65304),8 2,2021/09/23 16:15:12,낙찰하한선 미달
