순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
-138,2158199031,한소리이앤씨주식회사,,분석,499514200,86.958,88.382,0.3530 (100.353),5 4,2021/04/29 09:02:06,심사제외
-139,2078148017,(주)명신시스템,,분석,499513780,86.958,88.381,0.3529 (100.3529),13 10,2021/04/29 16:36:32,심사제외
-140,1078688280,콘텐츠스퀘어주식회사,,분석,499509800,86.958,88.381,0.3522 (100.3522),5 3,2021/04/29 08:00:48,심사제외
-141,2158171649,(주)삼삼통신기술,,분석,499508320,86.957,88.381,0.3519 (100.3519),5 11,2021/04/30 08:54:34,심사제외
-142,2108156959,두레에스텍 주식회사,,분석,499508306,86.957,88.381,0.3519 (100.3519),10 11,2021/04/28 16:15:41,심사제외
-143,2108108684,주식회사 대금이앤아이,,분석,499482430,86.952,88.376,0.3467 (100.3467),8 9,2021/04/28 13:17:34,심사제외
-144,1078658471,우암정보통신 주식회사,,분석,499463010,86.949,88.373,0.3428 (100.3428),4 6,2021/04/29 11:36:40,심사제외
-145,4168128895,(주)비아이씨스템,,분석,499458980,86.948,88.372,0.3419 (100.3419),5 10,2021/04/29 07:19:17,심사제외
-146,2148612657,주식회사 와이어블(Wiable Corp.),,분석,499450000,86.946,88.37,0.3401 (100.3401),14 15,2021/04/29 15:53:24,심사제외
-147,2038158134,(주)두전네트,,분석,499428965,86.942,88.366,0.3359 (100.3359),2 14,2021/04/29 10:15:21,심사제외
-148,6218602134,(주)플러스전력,,분석,499427070,86.942,88.366,0.3355 (100.3355),3 2,2021/04/29 22:03:04,심사제외
-149,2068606891,수미디어통신 주식회사,,분석,499414230,86.94,88.364,0.3330 (100.333),9 6,2021/04/28 17:24:38,심사제외
-150,1198182057,주식회사 다온티엔지,,분석,499411244,86.939,88.363,0.3324 (100.3324),9 2,2021/04/30 12:45:44,심사제외
-151,2158690656,금성통신건설(주),,분석,499408790,86.939,88.363,0.3319 (100.3319),1 13,2021/04/29 08:29:38,심사제외
-152,1068644033,(주)코맥스디에스씨,,분석,499406267,86.938,88.362,0.3314 (100.3314),3 10,2021/04/30 10:03:17,심사제외
-153,2148115227,대상전설(주),,분석,499393000,86.936,88.36,0.3287 (100.3287),8 3,2021/04/29 18:46:54,심사제외
-154,1068160552,(주)금산트리피아,,분석,499389537,86.935,88.36,0.3280 (100.328),8 7,2021/04/28 15:20:53,심사제외
-155,1178119238,주식회사 동양네트워크,,분석,499380383,86.933,88.358,0.3262 (100.3262),14 5,2021/04/30 08:40:44,심사제외
-156,1078606385,대선아이넷(주),,분석,499376000,86.932,88.357,0.3253 (100.3253),6 13,2021/04/28 15:06:00,심사제외
