bidNtceNo,bidNtceNm,opengDate,opengRank,bidprcCorpNm
20091220387,내정중 교과교실보수 공사,2010-01-04,,주식회사 동하건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,129,청일전기공사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1354,일동전력(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,131,(주)태림이텍
20091220387,내정중 교과교실보수 공사,2010-01-04,,한국전문건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,133,주식회사 현라엔지니어링
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,338,진원건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,135,신성씨앤디 주식회사
20091220387,내정중 교과교실보수 공사,2010-01-04,,효형종합건설주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,137,건양전기(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1356,미왕건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,139,두로산전(주)
20091220387,내정중 교과교실보수 공사,2010-01-04,,(주)서현시설안전
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,141,경당이앤씨
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,678,현대전기주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,143,(주)나래기전
20091220387,내정중 교과교실보수 공사,2010-01-04,,럭키건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,145,신한건영(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1358,대보정보통신 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,147,우진전기공사
20091220387,내정중 교과교실보수 공사,2010-01-04,,(주)대기이엔지
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,149,강북에스이엔씨 (주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,83,(주)효성전기공사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,151,오성이엔씨주식회사
20091220387,내정중 교과교실보수 공사,2010-01-04,,(주)유토건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,153,(주)투윈스컴
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1359,(주)제이원파워
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,155,현진전설 주식회사
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,2,(주)창일종합건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,157,주식회사 강남전기공사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,680,창일전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,159,(주)성지엔지니어링
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,4,(주)삼화
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,161,주식회사 제일전력공사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1362,주식회사거창
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,163,대영산전(주)
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,6,(주)에이스종합건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,165,주식회사수성전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,340,가나전력(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,167,동선종합건설(주)
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,8,송도건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,169,보성전기산업(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1364,(주)세지엔지니어링
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,170,주식회사블루이에프씨
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,10,유촌건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,173,(주)용백전설
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,682,경림전기건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,175,유니테크전설(주)
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,12,태광종합건설주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,177,엠케이전력 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1366,에스앤케이주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,179,대광신호공사
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,14,(주)다온
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,181,삼성전기산업 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,170,아산전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,183,주식회사 신영이엔티
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,16,대선종합건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,185,삼성홈이엔씨주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1368,대명전기공사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,187,금광산전 주식회사
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,18,왕우건설주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,189,거산공영개발(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,684,동원전설주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,191,(주)영종합전설
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,20,금도종합건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,193,풍성기전 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1370,진명기업(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,195,고덕전설(주)
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,22,대도종합건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,197,서광종합개발 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,342,주식회사 기림피앤씨
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,199,오성건설공사
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,24,송암건설산업 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,201,(주)성지이앤씨
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1372,주식회사 태은
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,203,서부전설 주식회사
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,26,합자회사  대신토건
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,205,주식회사 한인전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,686,우성전기(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,207,주식회사 이맥스시스템
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,28,동양건설산업주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,209,김호이앤씨 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1374,(주)삼종건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,211,(주)동우이엘시
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,30,삼강건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,213,주식회사 현주엔지니어링
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,42,진일전기공사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,215,경성이앤에프 주식회사
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,32,세영종합건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,217,엘케이테크넷(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1376,(주)가람이엔지
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,219,주식회사 하람전력
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,34,(주)진강건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,221,신한동력(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,688,(주)홍건개발
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,223,(주)모스퍼실리티
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,36,성우종합건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,225,주식회사 정우시스템
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1378,(주)새한이엔씨
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,227,(주)마스터일렉스
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,38,세계종합건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,229,파워메카(주)
