순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
147,1308624573,주식회사문연전기,,분석,2760583668,88.854,88.989,-0.3437 (99.6563),1 11,2023/05/02 12:23:53,미심사
148,5048133604,주식회사다온네트웍스,,분석,2760647380,88.856,88.991,-0.3414 (99.6586),8 10,2023/05/02 09:54:11,미심사
149,2148186794,주식회사 리트코,,분석,2760736000,88.859,88.994,-0.3383 (99.6617),7 13,2023/05/02 09:54:32,미심사
150,1208633380,(주)에스에스통신,,분석,2760805277,88.862,88.996,-0.3357 (99.6643),12 1,2023/05/02 09:22:16,미심사
151,3018191757,첨단제어시스템(주),,분석,2760844900,88.863,88.998,-0.3343 (99.6657),11 5,2023/05/02 17:31:02,미심사
152,1018139321,(주)세웅정보통신,,분석,2760860678,88.863,88.998,-0.3337 (99.6663),14 4,2023/05/02 09:12:37,미심사
153,3078139254,주식회사 다승텔레콤,,분석,2760872130,88.864,88.999,-0.3333 (99.6667),3 8,2023/05/02 14:48:55,미심사
154,1168175601,한빛인프라소닉(주),,분석,2760899280,88.865,88.999,-0.3324 (99.6676),8 5,2023/05/01 09:17:23,미심사
155,2198111833,주식회사 대영아이오티,,분석,2760902231,88.865,89.0,-0.3322 (99.6678),8 14,2023/05/03 11:53:41,미심사
156,1198174315,주식회사 다솜이엔씨,,분석,2760979793,88.868,89.002,-0.3294 (99.6706),6 11,2023/04/28 10:20:30,미심사
157,1078651497,모바일파킹 유한회사,,분석,2760985333,88.868,89.002,-0.3292 (99.6708),2 1,2023/05/02 11:02:42,미심사
158,2178114305,주식회사 광문정보통신,,분석,2760986431,88.868,89.002,-0.3292 (99.6708),11 10,2023/04/30 18:30:58,미심사
159,1178158978,주식회사 화일이엔에프,,분석,2761018380,88.869,89.003,-0.3281 (99.6719),15 6,2023/05/02 13:42:09,미심사
